trial,pFinf,pFnoninf,pO,past_rew_ch,past_rew_unch,past_Finf_ch,past_Finf_unch,past_Fnoninf_ch,past_Fnoninf_unch,past_O_ch,past_O_unch,subj,rts
2.0,-0.8472978603872034,-0.8472978603872034,-1.0986122886681093,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8397.0,2.0296
3.0,-0.7731898882334817,-0.3677247801253173,-1.945910149055313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8397.0,4.8411
4.0,-0.8472978603872034,0.7731898882334817,-2.197224577336219,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8397.0,2.4825999999999997
5.0,0.44183275227903906,0.7731898882334817,2.197224577336219,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8397.0,2.4562
6.0,0.3677247801253173,-0.7731898882334817,-2.197224577336219,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8397.0,2.1014
7.0,0.44183275227903906,0.8472978603872034,1.0986122886681093,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8397.0,2.2990999999999997
8.0,0.3677247801253173,0.44183275227903906,2.197224577336219,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8397.0,5.6665
9.0,0.7731898882334817,0.7731898882334817,1.945910149055313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8397.0,3.3062
10.0,0.8472978603872034,-0.44183275227903906,-0.25131442828090617,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8397.0,4.5718000000000005
11.0,-0.8472978603872034,-0.3677247801253173,-2.197224577336219,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,8397.0,4.0857
12.0,-0.8472978603872034,0.3677247801253173,-1.945910149055313,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8397.0,2.788
13.0,-0.44183275227903906,0.7731898882334817,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8397.0,1.5281
14.0,-0.7731898882334817,0.44183275227903906,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.0,1.7728
15.0,0.44183275227903906,-0.44183275227903906,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8397.0,1.96
16.0,-0.7731898882334817,-0.8472978603872034,-2.197224577336219,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8397.0,2.7464
17.0,0.3677247801253173,-0.8472978603872034,-1.945910149055313,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8397.0,4.5451999999999995
18.0,-0.8472978603872034,0.8472978603872034,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8397.0,2.2247
19.0,0.44183275227903906,0.44183275227903906,1.0986122886681093,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8397.0,4.1674
20.0,-0.3677247801253173,0.7731898882334817,2.197224577336219,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8397.0,1.6185999999999998
21.0,0.7731898882334817,-0.44183275227903906,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8397.0,2.0357
22.0,0.3677247801253173,-0.3677247801253173,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,8397.0,2.1644
23.0,-0.44183275227903906,-0.7731898882334817,-2.197224577336219,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8397.0,5.4475
24.0,-0.44183275227903906,-0.8472978603872034,-1.0986122886681093,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,8397.0,3.8670999999999998
25.0,0.7731898882334817,-0.7731898882334817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8397.0,6.715
26.0,-0.44183275227903906,0.44183275227903906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.0,2.0643000000000002
27.0,-0.44183275227903906,-0.44183275227903906,-1.0986122886681093,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8397.0,3.9638
28.0,-0.3677247801253173,0.44183275227903906,-0.25131442828090617,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8397.0,6.8792
29.0,0.8472978603872034,0.3677247801253173,2.197224577336219,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8397.0,2.5441
30.0,0.3677247801253173,0.7731898882334817,1.945910149055313,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8397.0,2.9703000000000004
31.0,0.3677247801253173,0.3677247801253173,1.945910149055313,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8397.0,2.7923
32.0,-0.44183275227903906,0.3677247801253173,0.25131442828090617,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8397.0,2.5986
33.0,0.44183275227903906,-0.7731898882334817,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8397.0,1.9765
